;Paper;Name;Latitude;Longitude;Mean basin elevation (m);Basin Relief (m);Basin Area (km2);Mean Latutide (dec. Deg.);Mean Longitude (dec. Deg);Effective basin elevation (m);Mean Basin slope;Rock type;Mean annual precipitation (mm/yr);Mean annual Temperature (C);% Vegetation;Seismicity;Seismic regime;Climate zone main;Cronus erosion rate (m/My);Cronus erosion rate error (m/My)
491;Henck et al., 2011, China;06-3R-38-MEK;29,62;98,35;4513;3166;73658,8;31,976;96,352;4551.0;7,5;Mixed;512.0;-1.0;14.0;1,025104;No;Cold;133,2;11,49
492;Henck et al., 2011, China;06-3R-39-MEK;29,66;98,37;4044;2100;176,52;29,718;98,427;4074.0;10,4;Mixed;529.0;3.0;34.0;1,00459;No;Arid;103,18;9,36
493;Henck et al., 2011, China;06-3R-43-MEK;29,55;98,21;4885;1598;331,01;29,623;98,101;4900.0;8,1;Mixed;567.0;-2.0;12.0;0,984278;No;Temperate;18,2;1,6
494;Henck et al., 2011, China;05-3R-4-MEK;28,56;98,81;4122;2804;461,22;28,658;98,902;4190.0;14,2;Mixed;653.0;2.0;31.0;1,043086;No;Cold;529,23;57,72
495;Henck et al., 2011, China;05-3R-6-MEK;28,1;98,92;4477;4462;79409,5;31,751;96,518;4530.0;8;Mixed;522.0;-1.0;15.0;1,008226;No;Cold;149,85;14,75
496;Henck et al., 2011, China;05-3R-7-MEK;27,57;99,04;4455;4673;80877,1;31,679;96,564;4514.0;8,1;Mixed;529.0;0.0;16.0;0,996209;No;Cold;155,27;14,26
497;Henck et al., 2011, China;05-3R-8-MEK;27,35;99,09;4443;4720;81525;31,646;96,583;4506.0;8,2;Mixed;533.0;0.0;16.0;0,996209;No;Cold;129,46;11,21
498;Henck et al., 2011, China;05-3R-14a-MEK;25,43;99,29;4262;5139;91257,4;31,106;96,865;4396.0;8,5;Mixed;593.0;1.0;19.0;1,170191;No;Cold;164,12;16,1
499;Henck et al., 2011, China;06-3R-15-YANG;31,76;98,56;4910;2139;1310,28;31,963;98,674;4925.0;6,2;Mixed;566.0;0.0;26.0;0,656759;No;Cold;154,71;13,6
500;Henck et al., 2011, China;06-3R-16-YANG;31,64;98,59;4897;2215;1356,26;31,954;98,671;4913.0;6,5;Mixed;567.0;0.0;26.0;0,656759;No;Cold;144,34;12,85
501;Henck et al., 2011, China;06-3R-17-YANG;31,63;98,59;4743;3439;159495;34,029;93,907;4762.0;3,6;Mixed;343.0;-5.0;6.0;0,859071;No;Polar;12,64;1,1
502;Henck et al., 2011, China;06-3R-21-YANG;31,4;98,16;4526;1843;1553,23;31,574;98,058;4543.0;6,6;Mixed;525.0;1.0;17.0;0,861932;No;Cold;48,51;4,42
503;Henck et al., 2011, China;06-3R-20-YANG;31,59;98,37;4702;2065;1674,29;31,837;98,17;4723.0;7,2;Mixed;535.0;1.0;17.0;0,678417;No;Cold;53,13;4,71
504;Henck et al., 2011, China;06-3R-19b-YANG;31,65;98,37;4684;1925;1159,43;31,917;98,126;4706.0;7,7;Mixed;534.0;1.0;13.0;0,684258;No;Cold;54,22;4,62
505;Henck et al., 2011, China;06-3R-19a-YANG;31,65;98,37;4710;1950;1639,94;31,843;98,166;4730.0;7;Mixed;535.0;1.0;16.0;0,678417;No;Cold;77,84;7,3
506;Henck et al., 2011, China;06-3R-18-YANG;31,62;98,6;5057;1298;115,35;31,686;98,729;5069.0;5,6;Mixed;567.0;0.0;29.0;0,652747;No;Cold;163,29;18,02
507;Henck et al., 2011, China;06-3R-22-YANG;31,3;98;1316;4430;395,27;31,438;97,97;4443.0;6,4;Mixed;518.0;1.0;15.0;0,861932;No;Cold;56,08;5,17
508;Henck et al., 2011, China;06-3R-24-YANG;31,4;97,88;4574;1123;432,16;31,374;97,791;4582.0;6,6;Mixed;519.0;0.0;13.0;0,861932;No;Cold;52,92;4,95
509;Henck et al., 2011, China;06-3R-41-YANG;29,76;99;4675;4079;192130;33,5;97,732;4709.0;4,5;Mixed;378.0;-4.0;11.0;0,885512;No;Polar;15,71;1,41
510;Henck et al., 2011, China;06-3R-42-YANG;29,76;99,01;4211;2507;2630,82;29,972;98,685;4240.0;8,2;Mixed;524.0;2.0;31.0;1,00459;No;Arid;38,78;3,52
511;Henck et al., 2011, China;05-3R-3-YANG;28,22;99,32;4608;4489;215151;33,034;95,228;4663.0;5,2;Mixed;405.0;-3.0;13.0;0,984984;No;Polar;17,44;1,5
512;Henck et al., 2011, China;05-3R-1b-YANG;26,87;99,97;4556;4682;223414;32,823;95,393;4632.0;5,5;Mixed;423.0;-3.0;14.0;1,111979;No;Polar;18,1;1,56
514;Hewawasam et al., 2003, Sri Lanka;AO-1;7,133;80,593;1116;1479;44,81;7,124;80,656;1144.0;13,8;Metamorphic;2663.0;20.0;45.0;0,057536;No;Tropical;17,71;1,67
515;Hewawasam et al., 2003, Sri Lanka;AO-2;7,148;80,638;1255;1253;30,16;7,116;80,674;1277.0;7,1;Metamorphic;2618.0;19.0;50.0;0,057536;No;Tropical;17,02;3,04
516;Hewawasam et al., 2003, Sri Lanka;NO-1;7,188;80,631;935;1037;62,65;7,177;80,666;948.0;13,6;Metamorphic;2675.0;21.0;22.0;0,057536;No;Tropical;18,85;1,76
517;Hewawasam et al., 2003, Sri Lanka;NO-2;7,153;80,663;1113;909;14,09;7,147;80,68;1128.0;14,3;Metamorphic;2614.0;21.0;28.0;0,057536;No;Tropical;21,74;1,88
518;Hewawasam et al., 2003, Sri Lanka;HUG-1;7,312;80,748;1005;1440;134,62;7,391;80,754;1280.0;16;Metamorphic;2570.0;21.0;48.0;0,057536;No;Tropical;23,08;2,16
519;Hewawasam et al., 2003, Sri Lanka;HUG-2;7,374;80,747;1148;1333;69,38;7,42;80,753;1174.0;16,4;Metamorphic;2575.0;20.0;48.0;0,057536;No;Tropical;28,21;4,74
520;Hewawasam et al., 2003, Sri Lanka;MO-1;7,193;80,765;1103;1557;106,77;7,142;80,742;1141.0;14,2;Metamorphic;2554.0;21.0;39.0;0,057536;No;Temperate;23,49;2,68
521;Hewawasam et al., 2003, Sri Lanka;MO-2;7,13;80,765;1507;1157;20,97;7,1;80,749;1522.0;14,9;Metamorphic;2446.0;18.0;58.0;0,057536;No;Temperate;6,05;0,51
522;Hewawasam et al., 2003, Sri Lanka;MO-3;7,133;80,713;1520;990;6,11;7,116;80,708;1530.0;6,9;Metamorphic;2553.0;19.0;72.0;0,057536;No;Temperate;28,8;2,54
523;Hewawasam et al., 2003, Sri Lanka;BO-1;7,144;80,836;1354;2207;146,8;7,073;80,799;1413.0;17,9;Metamorphic;2371.0;19.0;46.0;0,057536;No;Temperate;46,98;6,22
524;Hewawasam et al., 2003, Sri Lanka;BO-2;7,093;80,798;1533;1848;74,22;7,051;80,781;1861.0;19,6;Metamorphic;2321.0;18.0;57.0;0,057536;No;Temperate;36,96;3,82
525;Hewawasam et al., 2003, Sri Lanka;UO-1;7,198;80,943;1219;2310;731,33;6,947;80,911;1268.0;14,1;Metamorphic;2039.0;20.0;45.0;0,057536;No;Temperate;23,57;2,99
526;Hewawasam et al., 2003, Sri Lanka;UO-2;6,908;80,908;1618;1444;93,03;6,944;80,833;1655.0;11,9;Metamorphic;2030.0;17.0;54.0;0,057536;No;Temperate;18,31;4,1
527;Hewawasam et al., 2003, Sri Lanka;UO-3;6,93;80,852;1867;1354;42,05;6,972;80,812;1886.0;12,8;Metamorphic;2052.0;16.0;70.0;0,057536;No;Temperate;33,2;5,13
528;Hewawasam et al., 2003, Sri Lanka;M-PER;7,261;80,595;1223;2053;1071,8;7,013;80,648;1288.0;12,9;Metamorphic;2677.0;20.0;41.0;0,057536;No;Temperate;15,09;1,35
529;Hewawasam et al., 2003, Sri Lanka;M-HAG;7,269;80,703;1068;2090;1411,21;7,086;80,639;1146.0;11,9;Metamorphic;2572.0;21.0;42.0;0,057536;No;Temperate;26,51;2,62
530;Hewawasam et al., 2003, Sri Lanka;M-VIC;7,239;80,787;1016;2165;1900,17;7,135;80,67;1090.0;12,5;Metamorphic;2563.0;21.0;42.0;0,057536;No;Temperate;56,54;6,73
531;Hewawasam et al., 2003, Sri Lanka;M-MIN;7,211;80,981;1033;2411;3132,52;7,095;80,756;1105.0;13,6;Metamorphic;2428.0;21.0;43.0;0,057536;No;Temperate;27,39;2,48
533;Insel et al., 2010;N02;-15,16;-67,04;626;979;46,85;-15,181;-67,04;645.0;17,1;Sedimentary;1831.0;23.0;79.0;1,533239;No;Tropical;906,93;118,88
534;Insel et al., 2010;N04;-15,39;-67,12;1110;1396;339,6;-15,5;-67,12;1125.0;15,2;Sedimentary;1829.0;22.0;79.0;1,533239;No;Tropical;163,44;12,38
535;Insel et al., 2010;N05;-15,51;-67,17;1044;1221;203,06;-15,554;-67,17;1065.0;14,2;Sedimentary;1812.0;22.0;76.0;1,533239;No;Temperate;108,98;10,23
536;Insel et al., 2010;N06;-15,68;-67,43;1395;1096;34,05;-15,708;-67,43;1411.0;20;Sedimentary;1552.0;20.0;79.0;1,96722;No;Temperate;163,02;12,74
537;Insel et al., 2010;S01;-19,79;-63,26;1109;477;4,2;-19,802;-63,26;1113.0;27,5;Sedimentary;778.0;21.0;72.0;1,853326;No;Tropical;289,67;35,9
538;Insel et al., 2010;S03;-19,79;-64,03;1533;635;4,89;-19,773;-64,03;1538.0;21,5;Sedimentary;927.0;20.0;74.0;1,838942;No;Arid;789,53;65,82
539;Insel et al., 2010;S04;-19,61;-64,08;2278;3246;3929,84;-19,648;-64,08;2338.0;18,3;Sedimentary;755.0;17.0;45.0;1,838942;No;Arid;107,68;8,12
540;Insel et al., 2010;S05;-19,53;-64,15;2039;1170;7,72;-19,559;-64,15;2055.0;25,3;Sedimentary;832.0;18.0;60.0;1,838942;No;Arid;34,92;3,49
541;Insel et al., 2010;S06;-19,1;-65,3;3533;2089;1320,49;-18,923;-65,3;3559.0;10,8;Sedimentary;583.0;12.0;6.0;2,133799;Yes;Temperate;26,61;2,36
542;Insel et al., 2010;S08;-19,52;-63,25;1101;877;129,51;-19,522;-63,25;1107.0;13,9;Sedimentary;797.0;21.0;73.0;1,853326;No;Tropical;370,89;37,78
543;Insel et al., 2010;S09;-19,79;-63,23;1142;1020;154,31;-19,748;-63,23;1150.0;15,8;Sedimentary;797.0;21.0;77.0;1,853326;No;Tropical;392,02;57,44
544;Insel et al., 2010;S10;-20,01;-63,54;1454;2765;5198,58;-20,13;-63,54;1525.0;14,6;Sedimentary;820.0;20.0;75.0;1,808913;No;Arid;248,34;21,54
545;Insel et al., 2010;S11;-19,93;-63,68;1329;893;22,47;-19,918;-63,68;1341.0;21;Sedimentary;865.0;20.0;80.0;1,846373;No;Arid;601,06;70,05
546;Insel et al., 2010;S12;-20,1;-63,89;1346;1338;1065,68;-19,919;-63,89;1365.0;14;Sedimentary;862.0;20.0;75.0;1,805198;No;Arid;262,16;22,66
547;Insel et al., 2010;S13;-19,8;-63,94;1367;1054;64,49;-19,759;-63,94;1377.0;16,2;Sedimentary;929.0;20.0;74.0;1,838942;No;Arid;670,11;72,51
548;Insel et al., 2010;S15;-19,17;-63,66;1085;1715;3124,85;-19,544;-63,66;1102.0;12,5;Sedimentary;919.0;21.0;69.0;1,853326;No;Arid;467,82;43,9
549;Insel et al., 2010;S16;-19,2;-63,65;845;888;51,52;-19,216;-63,65;853.0;15,6;Sedimentary;975.0;22.0;75.0;1,821187;No;Arid;1987,16;399,66
551;Kirchner et al., 2001, Idaho;SC-2;44,372;-115,767;1748;548;1,17;44,379;-115,78;1754.0;16,5;Igneous;569.0;4.0;54.0;0,592334;No;Cold;153,64;13,16
552;Kirchner et al., 2001, Idaho;SC-3;44,368;-115,771;1678;522;1,31;44,373;-115,783;1685.0;16;Igneous;601.0;3.0;46.0;0,592334;No;Cold;83,19;6,91
553;Kirchner et al., 2001, Idaho;SC-5;44,346;-115,789;1578;333;1,16;44,354;-115,799;1581.0;12,2;Igneous;568.0;4.0;52.0;0,592334;No;Cold;66,67;5,53
554;Kirchner et al., 2001, Idaho;SC-6;44,337;-115,806;1598;336;1,82;44,345;-115,808;1599.0;15,2;Igneous;582.0;3.0;48.0;0,592334;No;Cold;73,48;7,22
555;Kirchner et al., 2001, Idaho;SC-7;44,35;-115,776;1640;317;0,23;44,348;-115,771;1639.0;22,2;Igneous;566.0;4.0;72.0;0,592334;No;Cold;44,44;3,76
556;Kirchner et al., 2001, Idaho;SC-8;44,356;-115,785;1564;354;1,04;44,361;-115,792;1568.0;13,2;Igneous;558.0;4.0;52.0;0,592334;No;Cold;59,86;5,16
557;Kirchner et al., 2001, Idaho;HC-2;45,994;-115,342;1537;429;0,56;46,001;-115,339;1543.0;17,3;Igneous;712.0;2.0;80.0;1,092205;No;Cold;50,36;4,19
558;Kirchner et al., 2001, Idaho;HC-4;45,995;-115,346;1563;428;1,4;46,004;-115,345;1569.0;16,2;Igneous;717.0;2.0;80.0;1,092205;No;Cold;46,39;3,97
559;Kirchner et al., 2001, Idaho;HC-6;45,994;-115,351;1540;392;1,02;46,003;-115,355;1544.0;12,8;Igneous;717.0;3.0;80.0;1,092205;No;Cold;41,93;3,53
560;Kirchner et al., 2001, Idaho;HC-8;45,995;-115,358;1538;360;1,46;46,003;-115,366;1540.0;13,5;Igneous;720.0;3.0;80.0;1,092205;No;Cold;46,73;4,2
561;Kirchner et al., 2001, Idaho;HC-9;45,994;-115,366;1496;192;0,22;45,997;-115,369;1496.0;13,1;Igneous;708.0;3.0;80.0;1,092205;No;Cold;41,75;3,39
562;Kirchner et al., 2001, Idaho;HC-10;45,992;-115,373;1536;311;0,67;45,997;-115,379;1539.0;14,9;Igneous;729.0;2.0;80.0;1,092205;No;Cold;47,81;3,95
563;Kirchner et al., 2001, Idaho;HC-12;45,992;-115,386;1598;337;0,84;45,998;-115,391;1604.0;17;Igneous;731.0;2.0;80.0;1,092205;No;Cold;52,04;4,25
564;Kirchner et al., 2001, Idaho;HC-14;45,99;-115,393;1617;322;0,63;45,995;-115,398;1618.0;15,7;Igneous;728.0;3.0;80.0;1,092205;No;Cold;41,88;3,78
565;Kirchner et al., 2001, Idaho;HC-16;45,991;-115,41;1672;247;0,26;45,996;-115,408;1673.0;13,4;Igneous;738.0;2.0;80.0;1,092205;No;Cold;30,46;2,57
566;Kirchner et al., 2001, Idaho;HC-Wfork;45,991;-115,337;1573;520;16,98;45,994;-115,384;1577.0;15,2;Igneous;725.0;2.0;80.0;1,092205;No;Cold;46,46;3,69
567;Kirchner et al., 2001, Idaho;HC-Efork;45,989;-115,334;1602;584;14,82;45,975;-115,38;1606.0;16,2;Igneous;719.0;3.0;80.0;1,092205;No;Cold;41,12;3,33
568;Kirchner et al., 2001, Idaho;TailholtA;45,053;-115,683;1825;1059;2,11;45,068;-115,688;1847.0;22,3;Igneous;672.0;2.0;59.0;0,622165;No;Cold;128,09;12,25
569;Kirchner et al., 2001, Idaho;TailholtB;45,053;-115,683;1783;852;1,63;45,065;-115,696;1799.0;22;Igneous;687.0;1.0;65.0;0,622165;No;Cold;127,48;10,99
570;Kirchner et al., 2001, Idaho;TailholtC;45,053;-115,684;1721;719;1,44;45,058;-115,697;1729.0;21,2;Igneous;664.0;3.0;54.0;0,622165;No;Cold;99,03;8,16
571;Kirchner et al., 2001, Idaho;Tailholt_Main;45,043;-115,678;1719;1239;6,38;45,061;-115,692;1740.0;22,3;Igneous;661.0;3.0;63.0;0,622165;No;Cold;115,56;10,3
572;Kirchner et al., 2001, Idaho;CircleEndA;45,055;-115,671;1663;571;0,82;45,061;-115,665;1672.0;23,8;Igneous;661.0;3.0;50.0;0,622165;No;Cold;109,66;9,25
573;Kirchner et al., 2001, Idaho;CircleEndB;45,055;-115,672;1724;904;2,45;45,067;-115,677;1738.0;22,5;Igneous;675.0;2.0;66.0;0,622165;No;Cold;111,7;9,4
574;Kirchner et al., 2001, Idaho;CircleEndMain;45,047;-115,668;1667;1109;3,69;45,064;-115,674;1682.0;23,1;Igneous;664.0;3.0;63.0;0,622165;No;Cold;104,34;9,57
575;Kirchner et al., 2001, Idaho;TrapperCr;45,671;-115,327;1773;503;20,54;45,685;-115,286;1777.0;10,3;Igneous;700.0;2.0;73.0;0,878599;No;Cold;30,26;2,46
576;Kirchner et al., 2001, Idaho;SForkRedRiv;45,709;-115,344;1775;942;97,85;45,663;-115,379;1784.0;11,5;Igneous;719.0;2.0;73.0;0,664993;No;Cold;30,53;2,51
577;Kirchner et al., 2001, Idaho;UpRedRiv;45,71;-115,343;1638;708;129,59;45,764;-115,252;1644.0;11,3;Igneous;682.0;2.0;76.0;1,092205;No;Cold;43,31;3,58
578;Kirchner et al., 2001, Idaho;JohnsCreek;45,823;-115,889;1775;1773;293,06;45,691;-115,867;1807.0;16,6;Igneous;753.0;2.0;79.0;0,688125;No;Cold;56,48;4,71
579;Kirchner et al., 2001, Idaho;SForkClrwtrRiv;45,887;-116,031;1577;2085;2155,25;45,788;-115,645;1605.0;13,8;Igneous;733.0;3.0;77.0;0,747582;No;Cold;46,66;3,83
580;Kirchner et al., 2001, Idaho;LochsaRiv;46,151;-115,587;1593;2218;3055,52;46,411;-114,959;1640.0;18,3;Igneous;594.0;3.0;74.0;1,51015;No;Cold;129,09;10,71
581;Kirchner et al., 2001, Idaho;SelwayRiv;46,086;-115,514;1689;2331;4958,67;45,976;-114,88;1741.0;20,8;Igneous;571.0;3.0;68.0;1,66493;No;Cold;108,43;9,93
582;Kirchner et al., 2001, Idaho;SalmonRiv;45,75;-116,323;2063;3324;34773,1;44,881;-114,772;2122.0;17,9;Igneous;509.0;1.0;46.0;0,692306;No;Cold;121,49;11,39
584;Kober et al., 2009, Chile;LL1;-18,336;-69,862;4060;4720;2540;-18,013;-69,617;4126.0;11,5;Mixed;249.0;5.0;4.0;2,035987;Yes;Arid;24,27;3,21
585;Kober et al., 2009, Chile;LL2;-18,401;-70,017;3753;5234;3018;-18,078;-69,652;3904.0;12;Mixed;217.0;6.0;4.0;2,035987;Yes;Arid;25,33;2,29
586;Kober et al., 2009, Chile;LL3;-18,399;-70,291;3463;5907;3356;-18,114;-69,697;3725.0;11,8;Mixed;196.0;7.0;3.0;2,035987;Yes;Arid;26,31;2,59
587;Kober et al., 2009, Chile;LL4;-17,983;-69,629;4319;2359;855;-17,815;-69,668;4338.0;8,7;Mixed;291.0;4.0;5.0;2,003439;Yes;Arid;11,91;1,86
588;Kober et al., 2009, Chile;LL5;-17,999;-69,631;4342;2383;1324;-17,875;-69,6;4364.0;8,4;Mixed;292.0;4.0;5.0;2,003439;Yes;Arid;12,39;1,31
590;Matmon et al., 2003, Smoky mountains NP;GSAC-1;35,611;-83,936;759;1189;157,48;35,583;-83,842;778.0;12,5;Metamorphic;1525.0;11.0;79.0;0,61211;No;Temperate;17,12;1,35
591;Matmon et al., 2003, Smoky mountains NP;GSBC-1;35,749;-83,115;1317;1449;74,78;35,713;-83,172;1336.0;20,8;Metamorphic;1620.0;9.0;80.0;0,659329;No;Temperate;39,39;3,02
592;Matmon et al., 2003, Smoky mountains NP;GSBC-2;35,736;-83,13;1360;1308;65,64;35,71;-83,18;1375.0;21,1;Metamorphic;1653.0;9.0;80.0;0,659329;No;Temperate;38,17;3,03
593;Matmon et al., 2003, Smoky mountains NP;GSCA-1;35,668;-83,071;1222;1110;149,61;35,628;-83,124;1236.0;17;Metamorphic;1600.0;9.0;80.0;0,659329;No;Temperate;22,19;1,76
594;Matmon et al., 2003, Smoky mountains NP;GSCO-1;35,505;-83,301;1230;1320;330,39;35,594;-83,279;1254.0;19,2;Metamorphic;1663.0;9.0;80.0;0,659329;No;Temperate;31,91;2,46
595;Matmon et al., 2003, Smoky mountains NP;GSCO-2;35,516;-83,306;1166;1255;134,87;35,588;-83,34;1187.0;19,8;Metamorphic;1644.0;9.0;80.0;0,659329;No;Temperate;35,71;2,77
596;Matmon et al., 2003, Smoky mountains NP;GSCO-3;35,521;-83,308;1028;918;12,26;35,526;-83,336;1037.0;18,3;Metamorphic;1598.0;10.0;80.0;0,689927;No;Temperate;23,87;1,83
597;Matmon et al., 2003, Smoky mountains NP;GSCO-4;35,558;-83,312;1220;1061;51,4;35,615;-83,323;1239.0;21,1;Metamorphic;1655.0;9.0;80.0;0,659329;No;Temperate;43,53;3,36
598;Matmon et al., 2003, Smoky mountains NP;GSCO-5;35,567;-83,336;1175;824;9,32;35,559;-83,356;1180.0;19,3;Metamorphic;1657.0;9.0;80.0;0,659329;No;Temperate;25,81;1,99
599;Matmon et al., 2003, Smoky mountains NP;GSCO-6;35,587;-83,36;1224;602;1,56;35,598;-83,353;1238.0;17,3;Metamorphic;1633.0;10.0;80.0;0,659329;No;Temperate;23,39;1,89
600;Matmon et al., 2003, Smoky mountains NP;GSCO-7;35,602;-83,413;1443;428;2,37;35,606;-83,424;1448.0;19,5;Metamorphic;1801.0;8.0;80.0;0,659329;No;Temperate;35,29;2,73
601;Matmon et al., 2003, Smoky mountains NP;GSCS-1;35,754;-83,205;1173;860;7,1;35,738;-83,198;1180.0;22,3;Metamorphic;1513.0;10.0;80.0;0,659329;No;Temperate;44,09;3,33
602;Matmon et al., 2003, Smoky mountains NP;GSDC-1;35,464;-83,434;1121;1349;104,89;35,537;-83,424;1147.0;18,7;Metamorphic;1663.0;10.0;80.0;0,674628;No;Temperate;25,33;1,95
603;Matmon et al., 2003, Smoky mountains NP;GSEC-1;35,487;-83,774;1039;1128;57,67;35,528;-83,757;1061.0;17,6;Metamorphic;1674.0;10.0;80.0;0,649362;No;Temperate;22,07;1,76
604;Matmon et al., 2003, Smoky mountains NP;GSFC-1;35,47;-83,566;1166;1445;72,12;35,52;-83,556;1194.0;18,6;Metamorphic;1722.0;9.0;80.0;0,649362;No;Temperate;22,82;1,82
605;Matmon et al., 2003, Smoky mountains NP;GSHC-1;35,476;-83,724;1100;1143;115,87;35,525;-83,657;1119.0;17,7;Metamorphic;1682.0;10.0;80.0;0,649362;No;Temperate;24,69;1,96
606;Matmon et al., 2003, Smoky mountains NP;GSLP-1;35,738;-83,415;1164;1592;117,36;35,687;-83,359;1203.0;20,1;Metamorphic;1593.0;9.0;80.0;0,659329;No;Temperate;37,66;2,94
607;Matmon et al., 2003, Smoky mountains NP;GSLR-1;35,661;-83,707;1054;1656;155,75;35,63;-83,578;1086.0;16,8;Metamorphic;1605.0;10.0;80.0;0,61211;No;Temperate;29,48;2,25
608;Matmon et al., 2003, Smoky mountains NP;GSLR-2;35,599;-83,514;1433;854;7,9;35,599;-83,491;1447.0;19,4;Metamorphic;1783.0;8.0;80.0;0,61211;No;Temperate;38,42;3,05
609;Matmon et al., 2003, Smoky mountains NP;GSLR-3;35,598;-83,515;1471;989;14,64;35,579;-83,51;1481.0;20,5;Metamorphic;1800.0;8.0;80.0;0,61211;No;Temperate;57,2;4,55
610;Matmon et al., 2003, Smoky mountains NP;GSLR-4;35,616;-83,529;1270;764;5,93;35,62;-83,503;1282.0;18,7;Metamorphic;1661.0;9.0;79.0;0,61211;No;Temperate;39,76;3,11
611;Matmon et al., 2003, Smoky mountains NP;GSLR-5;35,619;-83,54;1303;921;29,49;35,589;-83,565;1310.0;17,5;Metamorphic;1733.0;9.0;79.0;0,61211;No;Temperate;29,69;2,34
612;Matmon et al., 2003, Smoky mountains NP;GSLR-6;35,653;-83,582;1110;776;11,88;35,628;-83,589;1118.0;16,3;Metamorphic;1641.0;10.0;80.0;0,61211;No;Temperate;28,08;2,26
613;Matmon et al., 2003, Smoky mountains NP;GSLR-7;35,664;-83,598;1215;1382;100,43;35,609;-83,546;1235.0;17,8;Metamorphic;1681.0;9.0;80.0;0,61211;No;Temperate;35,88;2,85
614;Matmon et al., 2003, Smoky mountains NP;GSMP-1;35,659;-83,709;919;1312;118,32;35,61;-83,683;946.0;16,4;Metamorphic;1563.0;11.0;79.0;0,61211;No;Temperate;26,57;2,02
615;Matmon et al., 2003, Smoky mountains NP;GSNC-1;35,458;-83,528;1163;1454;46,5;35,513;-83,492;1192.0;19,1;Metamorphic;1697.0;10.0;80.0;0,649362;No;Temperate;22,52;1,82
616;Matmon et al., 2003, Smoky mountains NP;GSPB-1;35,499;-83,934;797;985;14,96;35,515;-83,912;814.0;16,8;Metamorphic;1559.0;11.0;80.0;0,649362;No;Temperate;21,85;1,81
617;Matmon et al., 2003, Smoky mountains NP;GSRF-1;35,61;-83,255;1520;783;36,97;35,651;-83,262;1527.0;17,1;Metamorphic;1807.0;8.0;80.0;0,659329;No;Temperate;23,32;1,85
618;Matmon et al., 2003, Smoky mountains NP;GSRF-2;35,629;-83,193;1287;324;1,64;35,631;-83,185;1298.0;17,3;Metamorphic;1652.0;9.0;80.0;0,659329;No;Temperate;26,34;2,06
619;Matmon et al., 2003, Smoky mountains NP;GSRF-3;35,629;-83,194;1351;440;0,8;35,637;-83,194;1355.0;17,6;Metamorphic;1727.0;8.0;80.0;0,659329;No;Temperate;19,52;1,55
620;Matmon et al., 2003, Smoky mountains NP;GSRF-5;35,623;-83,199;1281;396;0,7;35,62;-83,198;1288.0;17,1;Metamorphic;1644.0;9.0;80.0;0,659329;No;Temperate;27,28;2,14
621;Matmon et al., 2003, Smoky mountains NP;GSRF-6;35,622;-83,212;1440;905;27,28;35,66;-83,218;1454.0;20,6;Metamorphic;1749.0;8.0;80.0;0,659329;No;Temperate;28,64;2,25
622;Matmon et al., 2003, Smoky mountains NP;GSRF-7;35,618;-83,208;1293;783;7,73;35,624;-83,191;1303.0;17,9;Metamorphic;1652.0;9.0;80.0;0,659329;No;Temperate;23,4;1,86
623;Matmon et al., 2003, Smoky mountains NP;GSRF-8;35,613;-83,213;1367;835;3,62;35,604;-83,199;1379.0;21,7;Metamorphic;1649.0;9.0;80.0;0,659329;No;Temperate;31,49;2,5
624;Matmon et al., 2003, Smoky mountains NP;GSRF-9;35,608;-83,224;1263;641;2,7;35,618;-83,233;1269.0;20,2;Metamorphic;1691.0;9.0;80.0;0,659329;No;Temperate;31,92;2,5
625;Matmon et al., 2003, Smoky mountains NP;GSRF-10;35,584;-83,238;1342;1052;51,84;35,637;-83,215;1359.0;20,7;Metamorphic;1696.0;9.0;80.0;0,659329;No;Temperate;28,31;2,22
626;Matmon et al., 2003, Smoky mountains NP;GSRF-11;35,58;-83,264;1466;1136;55,89;35,638;-83,267;1477.0;17,8;Metamorphic;1783.0;8.0;80.0;0,659329;No;Temperate;21,61;1,71
627;Matmon et al., 2003, Smoky mountains NP;GSRF-12;35,517;-83,295;1284;1309;191,6;35,6;-83,235;1309.0;18,9;Metamorphic;1681.0;9.0;80.0;0,659329;No;Temperate;28,77;2,27
628;Matmon et al., 2003, Smoky mountains NP;GSTM-1;35,467;-83,878;961;1075;39,15;35,496;-83,853;984.0;16,3;Metamorphic;1658.0;10.0;80.0;0,649362;No;Temperate;23,27;1,81
629;Matmon et al., 2003, Smoky mountains NP;GSWP-1;35,688;-83,536;1225;1534;63,65;35,64;-83,477;1268.0;20,7;Metamorphic;1677.0;9.0;80.0;0,61211;No;Temperate;36,36;2,77
631;Morel et al., 2003, Germany;Wut1;47,848;8,454;903;900;351,56;47,889;8,251;908.0;6,4;Mixed;1229.0;6.0;61.0;0,869161;No;Temperate;71,29;9,53
632;Morel et al., 2003, Germany;Wut3;47,861;8,254;875;34;0,21;47,855;8,248;875.0;3;Igneous;1204.0;6.0;75.0;0,753339;No;Temperate;17,35;1,86
633;Morel et al., 2003, Germany;Wut4;47,865;8,223;990;517;39,01;47,868;8,156;993.0;11,2;Igneous;1314.0;6.0;73.0;0,753339;No;Temperate;116,15;17,46
634;Morel et al., 2003, Germany;Wut5;47,905;8,218;1031;357;1,52;47,899;8,208;1036.0;14,7;Igneous;1360.0;5.0;71.0;0,753339;No;Temperate;40,7;5,31
